absolute path,relative path,height
C:\Users\Матвей\Desktop\vs code\python\lab2\annotation\000005.jpg,annotation\000005.jpg,811
C:\Users\Матвей\Desktop\vs code\python\lab2\annotation\000007.jpg,annotation\000007.jpg,1065
C:\Users\Матвей\Desktop\vs code\python\lab2\annotation\000002.jpg,annotation\000002.jpg,1104
C:\Users\Матвей\Desktop\vs code\python\lab2\annotation\000003.jpg,annotation\000003.jpg,1104
C:\Users\Матвей\Desktop\vs code\python\lab2\annotation\000008.jpg,annotation\000008.jpg,1129
C:\Users\Матвей\Desktop\vs code\python\lab2\annotation\000010.jpg,annotation\000010.jpg,1170
C:\Users\Матвей\Desktop\vs code\python\lab2\annotation\000009.jpg,annotation\000009.jpg,1320
C:\Users\Матвей\Desktop\vs code\python\lab2\annotation\000006.jpg,annotation\000006.jpg,1400
C:\Users\Матвей\Desktop\vs code\python\lab2\annotation\000004.jpg,annotation\000004.jpg,1465
C:\Users\Матвей\Desktop\vs code\python\lab2\annotation\000001.jpg,annotation\000001.jpg,1498
